Economy,Score1,Prev.2
Albania,4.06,93
Algeria,3.98,87
Argentina,3.81,106
Armenia,4.07,82
Australia,5.19,21
Austria,5.22,23
Azerbaijan,4.55,40
Bahrain,4.47,39
Bangladesh,3.8,107
Barbados,4.19,n/a
Belgium,5.25,19
Benin,3.47,122
Bhutan,3.87,105
Bolivia,3.54,117
Bosnia and Herzegovina,3.8,111
Botswana,4.29,71
Brazil,4.06,75
Brunei Darussalam,4.35,n/a
Bulgaria,4.44,54
Burundi,3.06,136
Cambodia,3.98,90
Cameroon,3.58,114
Canada,5.27,13
Cape Verde,3.76,112
Chad,2.95,139
Chile,4.64,35
China,4.95,28
"Taiwan, China",5.28,15
Colombia,4.3,61
Congo Democratic Rep,3.29,n/a
Costa Rica,4.41,52
Côte d'Ivoire,3.86,91
Croatia,4.15,77
Cyprus,4.04,65
Czech Republic,4.72,31
Denmark,5.35,12
Dominican Republic,3.94,98
Ecuador,3.96,76
Egypt,3.67,116
El Salvador,3.81,95
Estonia,4.78,30
Ethiopia,3.77,109
Finland,5.44,8
France,5.2,22
Gabon,3.79,103
Gambia,3.47,123
Georgia,4.32,66
Germany,5.57,4
Ghana,3.68,119
Greece,4,81
Guatemala,4.08,78
Honduras,3.98,88
Hong Kong SAR,5.48,7
Hungary,4.2,63
Iceland,4.96,29
India,4.52,55
Indonesia,4.52,37
"Iran, Islamic Rep.",4.12,74
Ireland,5.18,24
Israel,5.18,27
Italy,4.5,43
Jamaica,4.13,86
Japan,5.48,6
Jordan,4.29,64
Kazakhstan,4.41,42
Kenya,3.9,99
"Korea, Rep.",5.03,26
Kuwait,4.53,34
Kyrgyz Republic,3.75,102
Lao PDR,3.93,83
Latvia,4.45,44
Lebanon,3.84,101
Lesotho,3.57,113
Liberia,3.21,129
Lithuania,4.6,36
Luxembourg,5.2,20
"Macedonia, FYR",4.23,60
Madagascar,3.33,130
Malawi,3.08,135
Malaysia,5.16,18
Mali,3.46,127
Malta,4.52,48
Mauritania,2.94,138
Mauritius,4.49,46
Mexico,4.41,57
Moldova,3.86,84
Mongolia,3.84,104
Montenegro,4.05,70
Morocco,4.2,72
Mozambique,3.13,133
Namibia,4.02,85
Nepal,3.87,100
Netherlands,5.57,5
New Zealand,5.31,16
Nicaragua,3.81,108
Nigeria,3.39,124
Norway,5.44,11
Oman,4.28,62
Pakistan,3.49,126
Panama,4.51,50
Paraguay,3.65,118
Peru,4.23,69
Philippines,4.36,47
Poland,4.56,41
Portugal,4.48,38
Qatar,5.23,14
Romania,4.3,53
Russian Federation,4.51,45
Rwanda,4.41,58
Saudi Arabia,4.84,25
Senegal,3.74,110
Serbia,3.97,94
Sierra Leone,3.16,137
Singapore,5.72,2
Slovak Republic,4.28,67
Slovenia,4.39,59
South Africa,4.47,49
Spain,4.68,33
Sri Lanka,4.19,68
Sweden,5.53,9
Switzerland,5.81,1
Tajikistan,4.12,80
Tanzania,3.67,120
Thailand,4.64,32
Trinidad and Tobago,3.93,89
Tunisia,3.92,92
Turkey,4.39,51
Uganda,3.69,115
Ukraine,4,79
United Arab Emirates,5.26,17
United Kingdom,5.49,10
United States,5.7,3
Uruguay,4.17,73
Venezuela,3.27,132
Vietnam,4.31,56
Yemen,2.74,n/a
Zambia,3.6,96
Zimbabwe,3.41,125
