Edition,2013-2014,2014-2015,2015-2016,Місце у рейтингу 2016-2017,2013-2014,2014-2015,2015-2016,Cередня зміна позиції за 3 роки
Ecuador,71,,76,91,,,15,15.0
Oman,33,46,62,66,13,16,4,11.0
Guyana,102,117,121,,15,4,,9.5
Seychelles,80,92,97,,12,5,,8.5
Cyprus,58,58,65,83,0,7,18,8.3
Brazil,56,57,75,81,1,18,6,8.3
Zambia,93,96,96,118,3,0,22,8.3
Barbados,47,55,,72,8,,,8.0
Bolivia,98,105,117,121,7,12,4,7.7
Montenegro,67,67,70,82,0,3,12,5.0
Lao PDR,81,93,83,93,12,-10,10,4.0
Tunisia,83,87,92,95,4,5,3,4.0
Suriname,106,110,,,4,,,4.0
Moldova,89,82,84,100,-7,2,16,3.7
Turkey,44,45,51,55,1,6,4,3.7
Saudi Arabia,20,24,25,29,4,1,4,3.0
El Salvador,97,84,95,105,-13,11,10,2.7
Nigeria,120,127,124,127,7,-3,3,2.3
"Gambia, The",116,125,123,123,9,-2,0,2.3
Finland,3,4,8,10,1,4,2,2.3
Benin,130,,122,124,,,2,2.0
Hungary,63,60,63,69,-3,3,6,2.0
Swaziland,124,123,128,,-1,5,,2.0
Puerto Rico,30,32,,,2,,,2.0
Sri Lanka,65,73,68,71,8,-5,3,2.0
Peru,61,65,69,67,4,4,-2,2.0
Bahrain,43,44,39,48,1,-5,9,1.7
Qatar,13,16,14,18,3,-2,4,1.7
Cameroon,115,116,114,119,1,-2,5,1.3
Nicaragua,99,99,108,103,0,9,-5,1.3
Kazakhstan,50,50,42,53,0,-8,11,1.0
Austria,16,21,23,19,5,2,-4,1.0
Indonesia,38,34,37,41,-4,3,4,1.0
Trinidad and Tobago,92,89,89,94,-3,0,5,0.7
Kuwait,36,40,34,38,4,-6,4,0.7
"Taiwan, China",12,14,15,14,2,1,-1,0.7
Hong Kong SAR,7,7,7,9,0,0,2,0.7
Panama,40,48,50,42,8,2,-8,0.7
Ukraine,84,76,79,85,-8,3,6,0.3
Malaysia,24,20,18,25,-4,-2,7,0.3
Australia,21,22,21,22,1,-1,1,0.3
"Korea, Rep.",25,26,26,26,1,0,0,0.3
Canada,14,15,13,15,1,-2,2,0.3
Germany,4,5,4,5,1,-1,1,0.3
Cambodia,88,95,90,89,7,-5,-1,0.3
Costa Rica,54,51,52,54,-3,1,2,0.0
Argentina,104,104,106,104,0,2,-2,0.0
Ghana,114,111,119,114,-3,8,-5,0.0
Kenya,96,90,99,96,-6,9,-3,0.0
Armenia,79,85,82,79,6,-3,-3,0.0
Sweden,6,10,9,6,4,-1,-3,0.0
Switzerland,1,1,1,1,0,0,0,0.0
Norway,11,11,11,11,0,0,0,0.0
Singapore,2,2,2,2,0,0,0,0.0
Belgium,17,18,19,17,1,1,-2,0.0
Mauritius,45,39,46,45,-6,7,-1,0.0
Croatia,75,77,77,74,2,0,-3,-0.3
Senegal,113,112,110,112,-1,-2,2,-0.3
Chile,34,33,35,33,-1,2,-2,-0.3
Japan,9,6,6,8,-3,0,2,-0.3
China,29,28,28,28,-1,0,0,-0.3
Malta,41,47,48,40,6,1,-8,-0.3
Malawi,136,132,135,134,-4,3,-1,-0.7
Lebanon,103,113,101,101,10,-12,0,-0.7
Paraguay,119,120,118,117,1,-2,-1,-0.7
France,23,23,22,21,0,-1,-1,-0.7
Estonia,32,29,30,30,-3,1,0,-0.7
United States,5,3,3,3,-2,0,0,-0.7
Luxembourg,22,19,20,20,-3,1,0,-0.7
Philippines,59,52,47,57,-7,-5,10,-0.7
Azerbaijan,39,38,40,37,-1,2,-3,-0.7
Egypt,118,119,116,115,1,-3,-1,-1.0
Lesotho,123,107,113,120,-16,6,7,-1.0
Israel,27,27,27,24,0,0,-3,-1.0
Denmark,15,13,12,12,-2,-1,0,-1.0
Thailand,37,31,32,34,-6,1,2,-1.0
Latvia,52,42,44,49,-10,2,5,-1.0
United Kingdom,10,9,10,7,-1,1,-3,-1.0
Spain,35,35,33,32,0,-2,-1,-1.0
United Arab Emirates,19,12,17,16,-7,5,-1,-1.0
Venezuela,134,131,132,130,-3,1,-2,-1.3
Gabon,112,106,103,108,-6,-3,5,-1.3
Mauritania,141,141,138,137,0,-3,-1,-1.3
Madagascar,132,130,130,128,-2,0,-2,-1.3
Mozambique,137,133,133,133,-4,0,0,-1.3
Bangladesh,110,109,107,106,-1,-2,-1,-1.3
Iceland,31,30,29,27,-1,-1,-2,-1.3
Mexico,55,61,57,51,6,-4,-6,-1.3
Netherlands,8,8,5,4,0,-3,-1,-1.3
Greece,91,81,81,86,-10,0,5,-1.7
Jordan,68,64,64,63,-4,0,-1,-1.7
Zimbabwe,131,124,125,126,-7,1,1,-1.7
Mongolia,107,98,104,102,-9,6,-2,-1.7
Portugal,51,36,38,46,-15,2,8,-1.7
Ireland,28,25,24,23,-3,-1,-1,-1.7
Italy,49,49,43,44,0,-6,1,-1.7
New Zealand,18,17,16,13,-1,-1,-3,-1.7
"Macedonia, FYR",73,63,60,68,-10,-3,8,-1.7
Timor-Leste,138,136,,,-2,,,-2.0
Slovenia,62,70,59,56,8,-11,-3,-2.0
Namibia,90,88,85,84,-2,-3,-1,-2.0
South Africa,53,56,49,47,3,-7,-2,-2.0
"Iran, Islamic Rep.",82,83,74,76,1,-9,2,-2.0
Angola,142,140,,,-2,,,-2.0
Poland,42,43,41,36,1,-2,-5,-2.0
Morocco,77,72,72,70,-5,0,-2,-2.3
Bulgaria,57,54,54,50,-3,0,-4,-2.3
Colombia,69,66,61,61,-3,-5,0,-2.7
Guatemala,86,78,78,78,-8,0,0,-2.7
Tanzania,125,121,120,116,-4,-1,-4,-3.0
Yemen,145,142,,138,-3,,,-3.0
Mali,135,128,127,125,-7,-1,-2,-3.3
Botswana,74,74,71,64,0,-3,-7,-3.3
Kyrgyz Republic,121,108,102,111,-13,-6,9,-3.3
Vietnam,70,68,56,60,-2,-12,4,-3.3
Guinea,147,144,140,,-3,-4,,-3.5
Pakistan,133,129,126,122,-4,-3,-4,-3.7
Serbia,101,94,94,90,-7,0,-4,-3.7
Chad,148,143,139,136,-5,-4,-3,-4.0
Bosnia and Herzegovina,87,,111,107,,,-4,-4.0
Uruguay,85,80,73,73,-5,-7,0,-4.0
Cape Verde,122,114,112,110,-8,-2,-2,-4.0
Sierra Leone,144,138,137,132,-6,-1,-5,-4.0
Bhutan,109,103,105,97,-6,2,-8,-4.0
Myanmar,139,134,131,,-5,-3,,-4.0
Slovak Republic,78,75,67,65,-3,-8,-2,-4.3
Algeria,100,79,87,87,-21,8,0,-4.3
Dominican Republic,105,101,98,92,-4,-3,-6,-4.3
Lithuania,48,41,36,35,-7,-5,-1,-4.3
Georgia,72,69,66,59,-3,-3,-7,-4.3
Haiti,143,137,134,,-6,-3,,-4.5
