url,title,text
https://www.pravda.com.ua/news/2020/09/29/7268117/,"Поліція затримала шахрайку-рецидивістку, яка 2 роки була в державному розшуку","У Харкові поліцейські затримали жінку, яка майже два роки перебувала в державному розшуку за скоєння особливо тяжких злочинів. Джерело: поліція Харківської області Дослівно: ""Встановили місцезнаходження і затримали 52-річну зловмисницю співробітники Управління карного розшуку ГУНП в Харківській області 28 вересня близько 20:30 біля будинку по вулиці Плитковій"". Деталі: Жінка з 2018 року перебуває у державному розшуку за скоєння особливо тяжких злочинів, передбачених ч. 4 ст. 190 (шахрайство на суму понад 30 мільйонів гривень) та ч.3 ст. 289 (незаконне заволодіння транспортним засобом) Кримінального кодексу. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1607190323083-0'); }); Злочини зловмисниця скоювала на території Київської і Дніпропетровської областей. Привласнене майно використовувала на власний розсуд, у тому числі для придбання коштовностей з дорогоцінним камінням. Зазначається, що жінку неодноразово притягували до кримінальної відповідальності за скоєння майнових злочинів, вона була обізнана про методи роботи правоохоронців. Аби уникнути покарання за скоєні злочини, вона змінювала адреси мешкання у різних регіонах України. Наразі зловмисницю помістили до ізолятора тимчасового тримання для подальшого етапування до Святошинського суду Києва, де їй мають обрати запобіжний захід. Підозрюваній загрожує до 12 років ув’язнення з конфіскацією майна."
https://www.pravda.com.ua/news/2004/08/5/3001677/,"ХОЧ ТІГІПКО ПОГОВОРИВ З СУМСЬКИМИ СТУДЕНТАМИ, АЛЕ МІЛІЦІЯ ШТУРМУВАТИМЕ ЇХ УНОЧІ?","Загони міліції, які мали намір зупинити пішу ходу на Київ акції протесту сумських студентів, залишили наметовий табір і передислокувалися неподалік від нього.Як повідомив ""Українській правді"" учасник акції Олег Медуниця, близько 19-30 сумська міліція спробувала затримати групу студентів.До них під'їхало міліцейське керівництво на чолі із начальником МВС області Плєхановим і його заступником Бєссаловим. Їх також супроводжували два автобуси міліції та два пустих автобуси для студентів.Разом із міліцією до студентів приїхав заступник губернатора Сумщини Соколов і міський голова міста Ромни Калашник, які також намагалися зупинити акцію протесту.Судовий виконавець зачитав рішення суду про заборону пішої ходи на Київ.""Це було рішення Роменського суду – заборонити піший похід трасою на Київ, оскільки він начебто несе небезпеку. Однак судовий виконавець не віддав рішення суду, тому мотивація нам не відома"", - сказав ""УП"" один із учасників акції протесту.За його словами, участь у цьому судовому засіданні не брав жоден із представників акції протесту.Міліція близько години вимагала від студентів зупинити похід на Київ. ""Ми заявили – назад до Сум ми не підемо. І якщо вони нас примушуватимуть сісти в автобуси – будемо чинити спротив"", - зазначив Медуниця.Заступник губернатора Соколов сказав, що не виключає силового впливу на студентів для виконання розпорядження.Через який час автобуси із міліцією від'їхали на інший бік села Андріяшівка Роменського району Сумщини.Близько 21-30 студенти почали розбивати табір на ніч. ""Хоч до кордону із Полтавською областю 8 км, однак ми проведемо цю ніч на Сумщині"", - сказав Медуниця. Як відомо, раніше учасники акції протесту заявили, що за їх даними прем'єр Янукович попередив губернатора Сумщини Щербаня про звільнення у разі, якщо студенти вийдуть за межі області.Водночас депутат-соціаліст Юрій Луценко повідомив ""УП"", що в четвер до учасників акції протесту потелефонував керівник штабу Януковича Сергій Тігіпко.За словами Луценка, Тігіпко запропонував студентам зустрітися і вирішити всі проблеми.Як уже повідомлялося, у червні в Сумах було розгорнуто наметове містечко проти приєднання держуніверситету і педуніверситету до Сумського аграрного університету під керівництвом ректора-депутата від СДПУ(о) Олександра Царенка. Після придушення акції міліцією ряд студентів рушили пішою ходою на Київ, однак міліція неодноразово намагалася їх зупинити.""Українська Правда""Читайте також:СУМСЬКА МІЛІЦІЯ ОБІЦЯЄ ПІДКИНУТИ НАРКОТУ СТУДЕНТАМ. Мороз потелефонував у МВСМороз і правозахисники просять Тігіпка не кидатись погрозами?МВС ЗВИНУВАЧУЄ ПЕВНІ ПОЛІТИЧНІ СИЛИ В ПІДГОТОВЦІ СТУДЕНТІВ-ЕКСТРЕМІСТІВЯНУКОВИЧ ЗВІЛЬНИТЬ ЩЕРБАНЯ, ЯКЩО ТОЙ ВИПУСТИТЬ СТУДЕНТІВ ЗА МЕЖІ ОБЛАСТІ?МІЛІЦІЯ РОЗІГНАЛА ПРОТЕСТ СТУДЕНТІВ ІЗ СУМ, ЯКІ НЕ ХОТІЛИ ІТИ ПІД СДПУ(О)Про підґрунтя акції читайте тут:Ні ""совокуплєнію"" вузів! Сумські студенти вирушають походом на Київ"
https://www.pravda.com.ua/news/2004/06/4/3000321/,"Депутати хочуть знати, чи може СБУ заборонити СДПУ(о)","Народний депутат з ""Нашої України"" Сергій Терьохін наголошує на необхідності направити запит СБУ щодо наявності або відсутності ""елементів фашистської спрямованості СДПУ(о)"".Так Терьохін прокоментував підтриманий парламентом запит голові Верховної Ради Володимиру Литвину щодо правомірності відмови в реєстрації проекту постанови, де міститься таке доручення СБУ.""Якщо СБУ дійсно знайде елементи фашистської спрямованості у політиці СДПУ(о), на що вказує багато різноманітних прямих та побічних факторів, у тому числі поведінка членів партії у Мукачевому, у Львові, в Ужгороді, тоді діятиме чітка судова процедура, оскільки закон про політичні партії передбачає заборону заснування партій, які сповідують в тому числі фашистські ідеології"", - зазначив Терьохін.Терьохін розповів, що при розгляді питання про події у Мукачевому член фракції СДПУ(о) Нестор Шуфрич поставив запитання заступнику голови СБУ, чи є у Служби безпеки відомості про фашистську спрямованість СДПУ(о).""У зв’язку з тим, що відповідь не була отримана паном Шуфричем, а ця відповідь є напрочуд важливою для усіх громадян України, я запропонував разом з іншими народними депутатами , які підписалися під проектом Постанови прийняти ВР рішення про те, щоб доручити СБУ підтвердити або спростувати відомості про те, що СДПУ(о) є партією фашистської спрямованості"", - зазначив Сергій Терьохін. Він підкреслив, що до того часу, поки Верховна Рада не отримає підтверджуючої інформації або інформації, яка б спростовувала такі відомості, фашистська спрямованість СДПУ(о) ще не доведена. Авторами проекту постанови є народні депутати Сергій Терьохін, Володимир Бондаренко, Андрій Шкіль, Тарас Стецьків та Михайло Косів, повідомляє прес-служба ""Нашої України"".Як вже повідомлялося, 13 травня помічники Терьохіна спробували зареєструвати проект постанови Верховної Ради України ""Про наявність фашистської спрямованості СДПУ(о) або її відсутність"". Але, за інформацією депутата, служба реєстрації документів ВР дуже перелякалися і сказали, що не зареєструють цю постанову, поки спікер Литвин, якому служба реєстрації направила офіційне звернення щодо можливості зареєструвати цей законопроект, не дасть своє добро.Тоді Терьохін також повідомляв, що через півгодини після того, як ці документи принести в службу реєстрації, помічникам народного депутата Терьохіна, які не мали жодного відношення до авторства цієї постанови, а лише намагалися її зареєструвати, подзвонили помічники одного з депутатів – членів СДПУ(о) і спитали: ""Чи хочете, щоб вам відкрутили голову, якщо ходитимете надалі реєструвати цей документ?""Читайте також:Помічники СДПУ(о) погрожують помічникам Терьохіна за спробу поєднати СДПУ(о) і фашизмШуфрич запитав у СБУ, чи правда, що СДПУ(о) – це фашисти?"
https://www.pravda.com.ua/news/2009/02/4/3711004/,Тимошенко обіцяє спустити держмайно не за копійки,"Прем'єр-міністр Юлія Тимошенко запевняє, що в Україні не буде приватизований жоден об'єкт, якщо за нього не запропонують достойної ціни.""Жоден об'єкт не буде приватизований, якщо не буде достойної ціни"", - сказала прем'єр на брифінгу в середу.Тимошенко уникла прямої відповіді на прохання підтвердити інформацію про те, що Фонд держмайна вирішив виставити на приватизацію 67,79% акцій ""Укртелекому"" та блокуючі пакети акцій 5 обленерго.Натомість прем'єр заявила, що ""Фонд держмайна працює за встановленим планом, в тому числі і по дорученню всіх вищих посадових осіб держави"". googletag.cmd.push(function() { googletag.display('div-gpt-ad-1607190323083-0'); }); Тимошенко зауважила, що з усіма потенційними учасниками приватизаційних процесів будуть проводитися консультації: ""Ми будемо встановлювати, хто готовий взяти участь. Також будуть встановлюватися дуже високі стартові умови для початку проведення приватизації"".Тимошенко запевнила, що уряд буде підходити до процесу приватизації ""дуже виважено і ретельно, нічого не буде робитися поспіхом"".На запитання, з якими саме шістьма країнами уряду вдалося домовитися про надання кредиту, і чи немає серед них Росії, прем'єр також ухилилася від прямої відповіді:""Усе, що зараз відбувається на рівні переговорів, це є робочі технічні моменти. Коли буде результат, ви дізнаєтеся про це першими. Переговори мусять проводитися в тиші і завершитися успішно""."
https://www.pravda.com.ua/news/2010/06/2/5101553/,МВФ не дуже сподобались реформи Януковича,"У МВФ вважають занадто загальним план реформ, запропонований керівництвом України.Про це заявив постійний представник МВФ в Україні Макс Альєр на презентації програми реформ в адміністрації президента.""Цей звіт дає комплексний аналіз проблем, з якими стикається Україна, однак рекомендації є занадто узагальненими, щоб гарантувати, що вони забезпечать вирішення існуючих проблем. Важливо, щоб деталізований план дій підсилював план реформ, пропонуючи більш амбіційний план-графік імплементації реформ"", - заявив Альєр.Він запропонував звернути увагу на три сфери. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1607190323083-0'); }); ""У цьому звіті слушно пропонується скоротити фіскальний дефіцит і переломити динаміку зростання зовнішнього боргу. Однак пропозиція скорочувати дефіцит на 1% на рік не є амбіційною"", - наголосив Альєр, зауваживши, що державний борг зростатиме такими темпами ще кілька років.Він також вказав, що зниження дефіциту бюджету ""має бути саме по собі метою, а не розглядатися як індикатор успіху"".""Те ж саме стосується показника інфляції. Оскільки він вже зараз вимірюється однозначним числом, то його скорочення до 5-6% до 2014 року видається не занадто амбіційною метою"", - наголосив Альєр. Українська правда"
https://www.pravda.com.ua/news/2016/03/18/7102560/,Журналісти просять Гройсмана не обмежувати їхній доступ в Раду,"46 журналістів підписали відкритий лист до спікера Володимира Гройсмана з проханням не допустити обмеження їхнього доступу в парламент та закриття деяких заходів Ради для преси. Про це повідомляє ""Детектор медіа"" з посиланням на відповідний документ. Зокрема, стурбованість представників ЗМІ викликало можливе закриття для преси засідання погоджувальної ради фракцій. Звернення підписали представники ""1+1"", СТБ, NewsOne, ""Еспресо"", 5-го каналу, UBR, ""Інтер"", ""24"", ""112 Україна"", ZIK, інформагентств УНІАН, ""Інтерфакс"", УНН, ""ЛігаБізнесІнформ"", ""Радио Вести"" та інших медіа. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1607190323083-0'); }); Медійники вже передали звернення Володимиру Гройсману і в парламентський комітет з питань свободи слова та інформаційної діяльності. Нагадаємо, 1 березня Гройсман оприлюднив підготовлену місією Європейського парламенту доповідь і дорожню карту реформування українського парламенту, серед рекомендацій яких вказано на необхідність запровадження закритого для ЗМІ режиму засідань погоджувальної ради. У документі, зокрема, йдеться про необхідність зміни підходу до формування порядку денного роботи Верховної Ради. На думку місії ЄП, на засіданнях погоджувальної ради не повинні бути присутні журналісти. ""Підхід до організації роботи погоджувальної ради з питань формування порядку денного роботи парламенту повинен бути переглянутий. Засідання погоджувальної ради повинні відбуватись у закритому для ЗМІ режимі"", – йдеться в рекомендації № 11 документу. Українська правда"
https://www.pravda.com.ua/news/2005/11/11/3016803/,Розмова з Тимошенко надихне Лазаренка на переворот,"Лідер партії ""Громада"" Павло Лазаренко заявляє, що хоче зустрітися з екс-прем'єром Юлією Тимошенко.Про це він заявив в інтерв'ю на телеканалі ""Інтер"" у четвер увечері у відповідь на прохання охарактеризувати стосунки з Тимошенко.""Для того, щоб абсолютно чітко все поставити на свої місця й абсолютно чесно відповісти щодо наших відносин, мені потрібна зустріч з нею (Тимошенко), для того, щоб проговорити дуже багато нюансів"", - заявив Лазаренко.""А там дуже багато буде цікавого, такого цікавого, що може сильно перевернути розстановку політичних сил в Україні"", - додав він. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1607190323083-0'); }); Лазаренко також відзначив, що прохання охарактеризувати стосунки було найскладнішим для нього питанням.""Мені складно говорити. Це, мабуть, найскладніше питання. Я підтримував Тимошенко, ми були разом партією ""Громада"". Багато членів ""Батьківщини"" прийшли під егідою Лазаренка ""Громади"" у Верховну Раду в 1998 році. Тимошенко занадто багато пережила, через багато чого пройшла"", - розповів Лазаренко.Він також зазначив, що, на його думку, сама Тимошенко не дуже прагне з ним зустрічатися.Українська правда"
https://www.pravda.com.ua/news/2019/10/17/7229267/,Вакарчук порівняв себе у Раді з добровольцем на війні,"Лідер партії ""Голос"" Святослав Вакарчук не почувається комфортно у депутатському кріслі, але націлений далі надихати свою команду на роботу. Про це він сказав в інтерв’ю ""Українській правді"" 14 жовтня. На припущення, що йому в Раді некомфортно, Вакарчук відповів: ""От сьогодні у нас День захисника. Люди добровольцями пішли на війну. Ти думаєш, їм там комфортно? Думаєш, вони пішли за позитивними емоціями? Коли ти запитаєш, чи відчувають вони себе там комфортно, – безумовно, некомфортно. І я приблизно так же відповім. Чи вважаю я ВРУ найкращим місцем на землі? Безумовно, ні. Наприклад, у студії, чи на концерті, чи на стадіоні мені точно приємніше. Але я ж не йшов туди за позитивними емоціями. Я добре знав, куди йду, я це вже бачив"". googletag.cmd.push(function() { googletag.display('div-gpt-ad-1607190323083-0'); }); На запитання, чи не хочеться йому скласти мандат, Вакарчук пояснив: ""Місія, яку я визначив собі, – завести якомога більше нових, професійних людей у політику. Поки що політична кон'юнктура складається так, що у нас невелика фракція. Можливо, вона не така впливова – адже ми не є частиною більшості, але де-факто вона є впливовою, тому що кожен наш депутат є фаховим і має свою точку зору. Часто ця точка зору, особливо у комітетах, починає переважувати. Саме тому я як людина, яка завела їх у парламент, яка об'єднала їх, відчуваю свою відповідальність і далі об'єднувати, мотивувати, вести вперед і визначати наші стратегічні цілі"". Вакарчук наголосив, що ""самою Верховною Радою не обмежується життя – зараз потрібно розбудовувати команду в регіонах"". ""Для мене це нова робота. Ми не стараємося робити швидкі і шумні кроки. Ми не гучним потоком галасливих слів, а тихою і невтомною працею любимо Україну і розбудовуємо партію ""Голос"", – сказав він. Вакарчук констатував: ""Ми отримали відсоток, який отримали (5,82% на виборах), і збираємося максимально виправдати довіру людей, які за нас проголосували… Коли група ""Океан Ельзи"" починала свою діяльність, ми теж сподівалися, що відразу будуть концерти й стадіони, але так не ставалося. Йшов час, ми вчилися, набиралися досвіду. Але ми ніколи не сприймали якийсь результат як негатив. Те саме і зараз. Ми маємо можливість самостійно вчитися у процесі"". За словами Вакарчука, ""Голос"" у парламенті перебуває в ""надпозиції"": ""Це не є ні опозиція, ні коаліція. Ми свідомо не ставимо себе в ситуацію ""А баба Яга проти""… Ми не про ""шашечки"", а про ""їхати"" – і ми готові підтримувати всі прогресивні позитивні ідеї, які пропонує президент, уряд, монобільшість. Чому б і ні? Це прекрасно""."
https://www.pravda.com.ua/news/2002/12/19/2992102/,"Кучма зізнався, що українців в Європі вважають ""другосортними""","Президент Кучма зазначає, що ""політичні заяви, що свідчать про укорінений в Старому Світі консервативний погляд на об'єднану Європу і на її зовнішні кордони"" викликають ""в Україні нерозуміння"". Про це глава української держави сказав, виступаючи 18 грудня в Міжнародному центрі досліджень взаємовідносин Схід-Захід у Тбілісі, повідомила прес-секретар президента України Олена Громницька. Кучма вважає неприйнятною ""ситуацію, коли одна Європа відчужує іншу Європу"". За його словами, ""особливо непокоїть спроба поділити європейців на справжніх і другосортних"", коли ""першим пропонується перспектива повноправної інтеграції, другим - місце в якомусь малозрозумілому ""поясі сусідства"". Як сказав Кучма, ""сьогоднішні спроби штучно обмежити розширення Євросоюзу довільно зведеними зовнішніми стінами – не просто помилкові"". На його думку, ""вони фактично закривають перспективу цивілізованого розвитку для націй, які були абсолютно не зі своєї вини відірвані від загального європейського дому"". Кучма підкреслив, що Грузія і Україна привнесуть в ""європейську сім'ю народів"" унікальний культурний, історичний і духовний досвід, якого не знали народи Західної Європи. Він хотів би, ""щоб цей факт усвідомили в Європі так само чітко й визначено, як це зробив великий європеєць сучасності Папа Римський Іоанн Павло II"". Кучма нагадав слова Понтифіка: ""Грузія, зі своєю культурою, історією і вірою, завжди дивилася на Захід і внесла свій внесок в християнську Європу"".UNIAN"
https://www.pravda.com.ua/news/2016/04/21/7106310/,"У ""діамантового"" Корнійця вдома були копії особистих документів Шокіна","Під час обшуку у ""діамантового"" прокурора Олександра Корнійця були вилучені копії особистих документів звільненого генпрокурора Віктора Шокіна, серед яких паспорти, документи на нерухомість. Про це йдеться у протоколі огляду речей, вилучених у Корнійця під час обшуку, що є у розпорядженні ""Української правди"". Протокол датований 6 липня 2015 року. Згідно з документом, за місцем проживання Корнійця у Софіївській Борщагівці було вилучено пакет чорного кольору, у якому і були знайдені документи. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1607190323083-0'); }); У пакеті також лежав телефон iPhone 6, який, за документом, належить дружині прокурора Світлані Корнієць. Згідно з протоколом, у цьому телефоні було знайдено смс-повідомлення від 5 липня на адресу абонента, підписаного ""Оксана Шокіна"" зі словами ""у нас обшук"". ЗМІ писали, що цивільну дружину Шокіна звуть Оксана Гриневич. Серед документів, знайдених у Корнійця були копії двох українських паспортів на ім'я Віктора Шокіна. Один виданий у лютому 1997 року, інший - 28 лютого 2012 року. Номери паспортів відрізняються. В обох вказана одна й та сама адреса проживання. Крім того, серед вилучених документів був аркуш паперу з друкованим текстом, де вказується, ідентифікаційний номер Шокіна, зазначається, що він не є підприємцем і має у власності як фізична особа 3 земельні ділянки з 2001 року. У протоколі також зазначена копія свідоцтва про право власності на житловий будинок Віктора Шокіна. У списку документів копії поверхового плану цього будинку та державного акту на право власності на землю, виданого на ім'я Шокіна. Також серед документів є копія договору купівлі-продажу Шокіним квартири по вулиці Ярославів Вал, та довідка БТІ про право власності Шокіна на згадану квартиру. У колишнього підлеглого Шокіна було знайдено копію свідоцтва про розірвання шлюбу Віктора Шокіна із Таїсією Литвин, датоване 28 грудня 2011 року. Також у Корнійця, згідно з документом, вилучено дозвіл на зберігання зброї на ім'я Віктора Шокіна. Також серед вилучених документів є копія дозволу на носіння зброї, видана на ім'я екс-прокурора Лотюка Степана Васильовича. Коли він був прокурором Києва, Шокін був слідчим з особливо важливих справ. Водночас у четвер після допиту екс-заступник генпрокурора Віталій Касько заявив, що після його звільнення Генпрокуратура затягує розслідування ""діамантових прокурорів"". За його словами, деякі кримінальні провадження щодо ""діамантових прокурорів"" були готові до направлення до суду, але досі лежать в ГПУ. Крім того, за словами Каська, ""британська сторона не отримала додаткового запиту про правову допомогу"" щодо інформацію про оплату освіти дочки Корнійця. ""Хоче вони (британська сторона) дуже хотіли надати додаткову інформацію. Це є свідченням, що провадження щодо діамантових прокурорів заминається"", - сказав Касько. Як відомо, 5 липня 2015 року у Корнійця та Володимира Шапакіна було проведено обшуки. Пізніше заступники Генпрокурора Давід Сакварелідзе і Віталій Касько звинувачували Шокіна у перешкоджанні розслідування справ Корнійця і Шапакіна. Конфілкт Шокіна і двх його заступників закінчився тим, що Касько пішов у відставку. А Сакварелідзе Шокін звільнив у день голосування ВР за його відставку. Сакварелідзе заявив, що Корнієць був ""керуючим справами"" Шокіна. Українська правда"
